Tier,RSC ID,Player Name,Team(s),Franchise(s),Conf.,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Master,RSC000809,Wheats :),"Wendigos
Blackout
Fraud","The Forest
Electric Mayhem
Inferno",Solar,16.9,47.0,3.0,0.764,1.0,3.0,0.0,929.0,470.0,459.0,2.0,0.0,4.0,7.0,28.60%,316.4,160.1,156.3,0.68,0.0,1.36,2.38,309.7,156.7,153.0,0.67,0.0,1.33,2.33,5.0,2.0,1.7,0.68,1.67,0.67
Master,RSC000805,Deezmuffinz,"Mambas
Nukes
Flex Tapes
Fraud
Xenon
Sabertooths","The Serpents
Fallout Shelter
As Seen on TV!
Inferno
Group Zero
Polar Vortex",Solar,16.9,113.0,7.0,0.475,0.571,4.0,3.0,2162.0,1130.0,1032.0,2.0,5.0,11.0,13.0,15.40%,306.2,160.1,146.2,0.28,0.71,1.56,1.84,308.9,161.4,147.4,0.29,0.71,1.57,1.86,15.0,16.0,2.12,2.27,2.14,2.29
Master,RSC003723,Darrow,"Care Bears
Phantoms
Chimaeras","The Bear Den
The Shadows
The Abyss",Lunar,16.0,52.0,3.0,0.311,0.333,1.0,2.0,1016.0,530.0,486.0,3.0,0.0,3.0,8.0,37.50%,312.7,163.1,149.6,0.92,0.0,0.92,2.46,338.7,176.7,162.0,1.0,0.0,1.0,2.67,4.0,7.0,1.23,2.15,1.33,2.33
Master,RSC004245,Iso,"Chimaeras
Soul
Lasagna Legion","The Abyss
The Elements
Italian Battalion",Lunar,15.7,53.0,3.0,0.453,0.333,1.0,2.0,948.0,540.0,408.0,2.0,1.0,4.0,9.0,22.20%,286.3,163.1,123.2,0.6,0.3,1.21,2.72,316.0,180.0,136.0,0.67,0.33,1.33,3.0,8.0,9.0,2.42,2.72,2.67,3.0
Master,RSC000077,N8Bnsn,"Flex Tapes
Xenon","As Seen on TV!
Group Zero",Solar,14.1,32.0,2.0,0.5,0.5,1.0,1.0,601.0,330.0,271.0,0.0,2.0,4.0,3.0,0.00%,300.6,165.1,135.6,0.0,1.0,2.0,1.5,300.5,165.0,135.5,0.0,1.0,2.0,1.5,3.0,3.0,1.5,1.5,1.5,1.5
Master,RSC000175,Nytro,"Chicago Style
Care Bears
Panthers
Nukes
Sabertooths
Soul","Fifty-Fifty Pizzeria
The Bear Den
The Jungle
Fallout Shelter
Polar Vortex
The Elements",Lunar,13.6,119.0,8.0,0.442,0.5,4.0,4.0,2395.0,1410.0,985.0,6.0,5.0,9.0,11.0,54.50%,322.1,189.7,132.5,0.81,0.67,1.21,1.48,299.4,176.3,123.1,0.75,0.63,1.13,1.38,20.0,23.0,2.69,3.09,2.5,2.88
Master,RSC001998,Kxle,"Chaos
Xenon
Care Bears
Immortals
Panthers
Helicoprions","North American Soccar Club
Group Zero
The Bear Den
The Sovereign
The Jungle
Shark Attack",Solar,13.4,146.0,8.0,0.277,0.25,2.0,6.0,2857.0,1610.0,1247.0,6.0,0.0,16.0,21.0,28.60%,313.2,176.5,136.7,0.66,0.0,1.75,2.3,357.1,201.3,155.9,0.75,0.0,2.0,2.63,12.0,23.0,1.32,2.52,1.5,2.88
Master,RSC001007,Tdeez,"Ares
Wendigos
Soul
Mambas","Olympus
The Forest
The Elements
The Serpents",Lunar,9.5,56.0,4.0,0.195,0.25,1.0,3.0,1076.0,410.0,666.0,1.0,1.0,4.0,6.0,16.70%,307.5,117.2,190.4,0.29,0.29,1.14,1.71,269.0,102.5,166.5,0.25,0.25,1.0,1.5,7.0,16.0,2.0,4.57,1.75,4.0
Master,,Koto,"DOOM
Fraud
Wendigos
Sabertooths
Nukes
Care Bears","8-Bit Brigade
Inferno
The Forest
Polar Vortex
Fallout Shelter
The Bear Den",Solar,9.1,89.0,6.0,0.408,0.333,2.0,4.0,1486.0,580.0,906.0,1.0,3.0,4.0,13.0,7.70%,267.2,104.3,162.9,0.18,0.54,0.72,2.34,247.7,96.7,151.0,0.17,0.5,0.67,2.17,11.0,14.0,1.98,2.52,1.83,2.33
Master,RSC003784,Rollsroyceowner,"Nukes
Andromeda
Blackout
Glacier Mint
Panthers
Helicoprions","Fallout Shelter
The Cosmos
Electric Mayhem
Minty Fresh
The Jungle
Shark Attack",Solar,8.5,109.0,7.0,0.5,0.571,4.0,3.0,2033.0,910.0,1123.0,2.0,4.0,8.0,11.0,18.20%,298.5,133.6,164.9,0.29,0.59,1.17,1.62,290.4,130.0,160.4,0.29,0.57,1.14,1.57,14.0,14.0,2.06,2.06,2.0,2.0
Master,RSC003202,Thecoffee,"Drones
Ares
Mambas
Xenon
Chicago Style
The Watchmen
Wendigos
King Kongs
Fraud
Flex Tapes","The Swarm
Olympus
The Serpents
Group Zero
Fifty-Fifty Pizzeria
The Comic Crusaders
The Forest
Planet of the Apes
Inferno
As Seen on TV!",Lunar,8.0,176.0,12.0,0.273,0.167,2.0,10.0,3172.0,1580.0,1592.0,4.0,4.0,15.0,23.0,17.40%,288.5,143.7,144.8,0.36,0.36,1.36,2.09,264.3,131.7,132.7,0.33,0.33,1.25,1.92,15.0,29.0,1.36,2.64,1.25,2.42
Master,RSC000030,Adeadm0053,"Wendigos
Xenon
Tempests
Phantoms
Panthers","The Forest
Group Zero
Storm
The Shadows
The Jungle",Solar,8.0,100.0,6.0,0.5,0.5,3.0,3.0,1945.0,990.0,955.0,1.0,3.0,13.0,9.0,11.10%,311.3,158.5,152.9,0.16,0.48,2.08,1.44,324.2,165.0,159.2,0.17,0.5,2.17,1.5,10.0,10.0,1.6,1.6,1.67,1.67
Master,RSC000482,Poofy,"Helicoprions
The Watchmen
Immortals
Chicago Style
Chaos","Shark Attack
The Comic Crusaders
The Sovereign
Fifty-Fifty Pizzeria
North American Soccar Club",Lunar,5.1,77.0,5.0,0.284,0.4,2.0,3.0,1384.0,690.0,694.0,1.0,2.0,8.0,9.0,11.10%,287.7,143.4,144.3,0.21,0.42,1.66,1.87,276.8,138.0,138.8,0.2,0.4,1.6,1.8,9.0,16.0,1.87,3.33,1.8,3.2
Master,RSC002591,Jhensleyy.,"Immortals
Chimaeras
Soul
Flex Tapes","The Sovereign
The Abyss
The Elements
As Seen on TV!",Lunar,4.5,70.0,4.0,0.329,0.25,1.0,3.0,1073.0,480.0,593.0,2.0,1.0,2.0,13.0,15.40%,245.3,109.8,135.6,0.46,0.23,0.46,2.97,268.3,120.0,148.3,0.5,0.25,0.5,3.25,9.0,14.0,2.06,3.2,2.25,3.5
Master,RSC000457,Bob,"Sabertooths
DOOM
Chicago Style
King Kongs
Flex Tapes
Whiskits and Gravy","Polar Vortex
8-Bit Brigade
Fifty-Fifty Pizzeria
Planet of the Apes
As Seen on TV!
The Cat Cafe",Lunar,4.5,95.0,6.0,0.404,0.333,2.0,4.0,1657.0,920.0,737.0,3.0,3.0,7.0,12.0,25.00%,279.2,155.0,124.2,0.51,0.51,1.18,2.02,276.2,153.3,122.8,0.5,0.5,1.17,2.0,15.0,19.0,2.53,3.2,2.5,3.17
Master,RSC002873,Muddy,"Flex Tapes
DOOM
Glacier Mint
Tempests
King Kongs","As Seen on TV!
8-Bit Brigade
Minty Fresh
Storm
Planet of the Apes",Solar,4.2,107.0,6.0,0.443,0.333,2.0,4.0,1747.0,890.0,857.0,2.0,5.0,6.0,14.0,14.30%,261.3,133.1,128.2,0.3,0.75,0.9,2.09,291.2,148.3,142.8,0.33,0.83,1.0,2.33,12.0,14.0,1.8,2.09,2.0,2.33
Master,RSC000849,Dapperstarfishh,"Sabertooths
Soul
Immortals
Wendigos
Lasagna Legion
Glacier Mint
Whiskits and Gravy
Nukes
Chimaeras
Helicoprions","Polar Vortex
The Elements
The Sovereign
The Forest
Italian Battalion
Minty Fresh
The Cat Cafe
Fallout Shelter
The Abyss
Shark Attack",Lunar,-0.1,199.0,12.0,0.441,0.5,6.0,6.0,3659.0,1920.0,1739.0,7.0,2.0,18.0,22.0,31.80%,294.3,154.4,139.9,0.56,0.16,1.45,1.77,304.9,160.0,144.9,0.58,0.17,1.5,1.83,23.0,27.0,1.85,2.17,1.92,2.25
Master,RSC004032,Monkeynut,"Drones
Lasagna Legion
Mercury
Panthers","The Swarm
Italian Battalion
Milky Way
The Jungle",Solar,-0.1,76.0,5.0,0.404,0.4,2.0,3.0,1382.0,580.0,802.0,2.0,1.0,5.0,8.0,25.00%,291.1,122.2,168.9,0.42,0.21,1.05,1.68,276.4,116.0,160.4,0.4,0.2,1.0,1.6,11.0,14.0,2.32,2.95,2.2,2.8
Master,RSC000021,Tyty,"Mambas
Xenon
Helicoprions
Fraud
Panthers","The Serpents
Group Zero
Shark Attack
Inferno
The Jungle",Solar,-1.3,89.0,6.0,0.329,0.167,1.0,5.0,1177.0,530.0,647.0,1.0,2.0,3.0,18.0,5.60%,211.7,95.3,116.4,0.18,0.36,0.54,3.24,196.2,88.3,107.8,0.17,0.33,0.5,3.0,8.0,13.0,1.44,2.34,1.33,2.17
Master,RSC003129,Papakhan,"Fraud
King Kongs
Mercury
Andromeda
Helicoprions","Inferno
Planet of the Apes
Milky Way
The Cosmos
Shark Attack",Lunar,-2.7,107.0,6.0,0.575,0.5,3.0,3.0,1574.0,940.0,634.0,4.0,2.0,5.0,19.0,21.10%,235.5,140.6,94.8,0.6,0.3,0.75,2.84,262.3,156.7,105.7,0.67,0.33,0.83,3.17,17.0,14.0,2.54,2.09,2.83,2.33
