Filter(s),,,Name,Tier,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
,,,Cereal21,Veteran,Rollin Cannolis,The Bakery,Lunar,68.8,838,57,0.566,0.579,33,24,21499,12070,9429,54,25,75,167,32.3%,393.0,220.6,172.3,0.99,0.46,1.37,3.05,377.2,211.8,165.4,0.95,0.44,1.32,2.93,131,110,2.39,2.01,2.30,1.93
,,,Supercruz101,Veteran,"Peppers
Supernova
Water","The Garden
The Cosmos
The Elements",Solar,68.8,169,11,0.551,0.545,6,5,4305,2750,1555,14,7,14,30,46.7%,390.2,249.2,140.9,1.27,0.63,1.27,2.72,391.4,250.0,141.4,1.27,0.64,1.27,2.73,35,31,3.17,2.81,3.18,2.82
,,,Cundy,Veteran,Cthulhu,The Mythos,Lunar,67.5,990,64,0.635,0.609,39,25,24264,13960,10304,55,52,82,176,31.3%,375.4,216.0,159.4,0.85,0.80,1.27,2.72,379.1,218.1,161.0,0.86,0.81,1.28,2.75,185,130,2.86,2.01,2.89,2.03
,,,Bladedraptor,Veteran,"Dobermans
Humpbacks","Puppy Paradise
Whale Defense",Solar,67.5,925,60,0.435,0.383,23,37,23768,14300,9468,70,25,85,180,38.9%,393.6,236.8,156.8,1.16,0.41,1.41,2.98,396.1,238.3,157.8,1.17,0.42,1.42,3.00,141,166,2.33,2.75,2.35,2.77
,,,ッrxtro.,Veteran,Gorillas,The Jungle,Solar,67.2,114,7,0.500,0.571,4,3,2829,1580,1249,5,4,13,23,21.7%,380.1,212.3,167.8,0.67,0.54,1.75,3.09,404.1,225.7,178.4,0.71,0.57,1.86,3.29,14,14,1.88,1.88,2.00,2.00
,,,Lil Windex,Veteran,Peppers,The Garden,Solar,65.8,638,41,0.602,0.634,26,15,16017,8790,7227,29,31,66,104,27.9%,384.5,211.0,173.5,0.70,0.74,1.58,2.50,390.7,214.4,176.3,0.71,0.76,1.61,2.54,100,76,2.40,1.82,2.44,1.85
,,,Galacticcccc,Veteran,"Typhoons
Linguini Lancers","Storm
Italian Battalion",Solar,65.4,917,58,0.537,0.552,32,26,22124,12890,9234,54,39,75,179,30.2%,369.5,215.3,154.2,0.90,0.65,1.25,2.99,381.4,222.2,159.2,0.93,0.67,1.29,3.09,144,131,2.41,2.19,2.48,2.26
,,,Partyshark.,Veteran,Water,The Elements,Solar,64.4,545,35,0.587,0.686,24,11,13998,8750,5248,47,16,46,95,49.5%,393.4,245.9,147.5,1.32,0.45,1.29,2.67,399.9,250.0,149.9,1.34,0.46,1.31,2.71,101,81,2.84,2.28,2.89,2.31
,,,A Legit Bunee,Veteran,Cepheus,The Nexus,Solar,64.2,729,49,0.479,0.490,24,25,18578,11220,7358,49,18,81,137,35.8%,390.3,235.7,154.6,1.03,0.38,1.70,2.88,379.1,229.0,150.2,1.00,0.37,1.65,2.80,109,115,2.29,2.42,2.22,2.35
,,,Wilderlorde,Veteran,Atomic,Energy,Lunar,63.7,900,55,0.632,0.527,29,26,21642,13150,8492,65,35,63,175,37.1%,368.3,223.8,144.5,1.11,0.60,1.07,2.98,393.5,239.1,154.4,1.18,0.64,1.15,3.18,165,117,2.81,1.99,3.00,2.13
,,,Savant,Veteran,Rollin Cannolis,The Bakery,Lunar,63.5,785,54,0.594,0.593,32,22,19312,10230,9082,43,34,57,138,31.2%,376.8,199.6,177.2,0.84,0.66,1.11,2.69,357.6,189.4,168.2,0.80,0.63,1.06,2.56,127,99,2.48,1.93,2.35,1.83
,,,Braamse,Veteran,Grizzly Bears,The Bear Den,Lunar,62.0,811,51,0.616,0.647,33,18,19876,11770,8106,47,37,78,132,35.6%,375.4,222.3,153.1,0.89,0.70,1.47,2.49,389.7,230.8,158.9,0.92,0.73,1.53,2.59,146,108,2.76,2.04,2.86,2.12
,,,Shim_Sham,Veteran,Wyverns,The Forest,Solar,61.6,911,64,0.574,0.563,36,28,23137,13140,9997,48,30,107,149,32.2%,389.0,220.9,168.1,0.81,0.50,1.80,2.51,361.5,205.3,156.2,0.75,0.47,1.67,2.33,141,116,2.37,1.95,2.20,1.81
,,,Skriviere,Veteran,Wyverns,The Forest,Solar,61.4,509,36,0.558,0.500,18,18,12318,6860,5458,29,18,42,96,30.2%,370.7,206.4,164.2,0.87,0.54,1.26,2.89,342.2,190.6,151.6,0.81,0.50,1.17,2.67,77,66,2.32,1.99,2.14,1.83
,,,Therogerseffect,Veteran,Banshees,The Monster Mash,Lunar,61.1,927,61,0.528,0.557,34,27,22062,13120,8942,58,40,73,167,34.7%,364.5,216.8,147.7,0.96,0.66,1.21,2.76,361.7,215.1,146.6,0.95,0.66,1.20,2.74,141,131,2.33,2.16,2.31,2.15
,,,Mf Method,Veteran,Titanium,Metal,Solar,60.3,904,59,0.597,0.593,35,24,21049,12510,8539,64,31,54,186,34.4%,356.6,212.0,144.7,1.08,0.53,0.91,3.15,356.8,212.0,144.7,1.08,0.53,0.92,3.15,152,118,2.58,2.00,2.58,2.00
,,,Lickadoss77,Veteran,Water,The Elements,Solar,60.2,949,60,0.530,0.567,34,26,23266,13090,10176,44,45,100,144,30.6%,375.5,211.3,164.2,0.71,0.73,1.61,2.32,387.8,218.2,169.6,0.73,0.75,1.67,2.40,164,152,2.65,2.45,2.73,2.53
,,,Archhie.,Veteran,Spastics,The Quad Dynasty,Lunar,59.2,694,45,0.515,0.556,25,20,16264,9210,7054,37,30,55,126,29.4%,358.9,203.3,155.7,0.82,0.66,1.21,2.78,361.4,204.7,156.8,0.82,0.67,1.22,2.80,107,103,2.36,2.27,2.38,2.29
,,,J.,Veteran,Makos,Shark Attack,Lunar,59.0,873,58,0.527,0.569,33,25,22023,12630,9393,53,22,95,148,35.8%,386.4,221.6,164.8,0.93,0.39,1.67,2.60,379.7,217.8,161.9,0.91,0.38,1.64,2.55,136,127,2.39,2.23,2.34,2.19
,,,Aos Arctic,Veteran,Possessed,Destined,Solar,59.0,574,39,0.440,0.385,15,24,14614,8300,6314,36,14,61,95,37.9%,390.0,221.5,168.5,0.96,0.37,1.63,2.53,374.7,212.8,161.9,0.92,0.36,1.56,2.44,77,90,2.05,2.40,1.97,2.31
,,,.Tor.,Veteran,Jaculus,Draconem,Solar,58.2,602,37,0.587,0.595,22,15,13545,8170,5375,30,35,48,102,29.4%,344.6,207.9,136.8,0.76,0.89,1.22,2.60,366.1,220.8,145.3,0.81,0.95,1.30,2.76,105,84,2.67,2.14,2.84,2.27
,,,Chimmy,Veteran,Gorillas,The Jungle,Solar,58.1,682,47,0.481,0.553,26,21,16840,9140,7700,38,22,62,114,33.3%,378.2,205.3,172.9,0.85,0.49,1.39,2.56,358.3,194.5,163.8,0.81,0.47,1.32,2.43,103,108,2.31,2.43,2.19,2.30
,,,Chefty,Veteran,Wyverns,The Forest,Solar,57.9,883,62,0.570,0.565,35,27,21773,11820,9953,45,34,85,137,32.8%,377.7,205.0,172.6,0.78,0.59,1.47,2.38,351.2,190.6,160.5,0.73,0.55,1.37,2.21,137,114,2.38,1.98,2.21,1.84
,,,Legend,Veteran,Singularity,Event Horizon,Solar,57.2,601,40,0.533,0.600,24,16,13835,7720,6115,34,22,41,117,29.1%,352.6,196.7,155.8,0.87,0.56,1.04,2.98,345.9,193.0,152.9,0.85,0.55,1.03,2.93,99,91,2.52,2.32,2.48,2.28
,,,(P|F)Ineapple,Veteran,Hades,The Gods,Lunar,56.9,949,64,0.528,0.531,34,30,22664,12650,10014,48,39,87,155,31.0%,365.8,204.2,161.6,0.77,0.63,1.40,2.50,354.1,197.7,156.5,0.75,0.61,1.36,2.42,141,131,2.28,2.11,2.20,2.05
,,,Chitfpv,Veteran,Gorillas,The Jungle,Solar,56.9,68,4,0.663,0.750,3,1,1679,1060,619,6,2,5,11,54.5%,378.2,238.8,139.4,1.35,0.45,1.13,2.48,419.8,265.0,154.8,1.50,0.50,1.25,2.75,11,7,2.48,1.58,2.75,1.75
,,,Gga Astro,Veteran,Water,The Elements,Solar,56.7,255,17,0.422,0.353,6,11,6389,3770,2619,16,6,29,42,38.1%,383.8,226.4,157.3,0.96,0.36,1.74,2.52,375.8,221.8,154.1,0.94,0.35,1.71,2.47,36,44,2.16,2.64,2.12,2.59
,,,Slygo21,Veteran,Dobermans,Puppy Paradise,Solar,56.5,831,55,0.494,0.473,26,29,19569,11330,8239,42,46,73,118,35.6%,360.7,208.8,151.9,0.77,0.85,1.35,2.17,355.8,206.0,149.8,0.76,0.84,1.33,2.15,140,142,2.58,2.62,2.55,2.58
,,,Nano,Veteran,Menthol,Minty Fresh,Solar,56.1,765,51,0.607,0.608,31,20,17040,10550,6490,43,42,57,130,33.1%,341.2,211.2,129.9,0.86,0.84,1.14,2.60,334.1,206.9,127.3,0.84,0.82,1.12,2.55,153,117,3.06,2.34,3.00,2.29
,,,Iamnotacook,Veteran,Merciless Mob,The Syndicate,Lunar,55.5,1011,63,0.472,0.460,29,34,23959,13980,9979,53,38,102,168,31.5%,363.0,211.8,151.2,0.80,0.58,1.55,2.55,380.3,221.9,158.4,0.84,0.60,1.62,2.67,149,160,2.26,2.42,2.37,2.54
,,,Rmack,Veteran,Rollin Cannolis,The Bakery,Lunar,55.4,402,26,0.542,0.615,16,10,9185,5370,3815,20,14,38,77,26.0%,350.0,204.6,145.4,0.76,0.53,1.45,2.93,353.3,206.5,146.7,0.77,0.54,1.46,2.96,57,51,2.17,1.94,2.19,1.96
,,,Iamreaperr_-,Veteran,Banshees,The Monster Mash,Lunar,55.2,194,13,0.642,0.692,9,4,4426,2550,1876,10,8,16,35,28.6%,349.4,201.3,148.1,0.79,0.63,1.26,2.76,340.5,196.2,144.3,0.77,0.62,1.23,2.69,31,21,2.45,1.66,2.38,1.62
,,,Mykopolis,Veteran,Seadevils,The Abyss,Lunar,55.1,59,4,0.397,0.250,1,3,1511,910,601,4,0,8,11,36.4%,392.3,236.2,156.0,1.04,0.00,2.08,2.86,377.8,227.5,150.3,1.00,0.00,2.00,2.75,6,8,1.56,2.08,1.50,2.00
,,,Sirtommynoble,Veteran,Peppers,The Garden,Solar,54.4,879,56,0.593,0.607,34,22,20501,12230,8271,59,23,70,168,35.1%,357.2,213.1,144.1,1.03,0.40,1.22,2.93,366.1,218.4,147.7,1.05,0.41,1.25,3.00,136,106,2.37,1.85,2.43,1.89
,,,Jibletsmasher,Veteran,Makos,Shark Attack,Lunar,54.2,456,32,0.541,0.531,17,15,10483,5690,4793,18,24,40,69,26.1%,352.1,191.1,161.0,0.60,0.81,1.34,2.32,327.6,177.8,149.8,0.56,0.75,1.25,2.16,69,62,2.32,2.08,2.16,1.94
,,,Md,Veteran,Atomic,Energy,Lunar,52.6,803,50,0.667,0.620,31,19,17327,10330,6997,41,44,53,138,29.7%,330.5,197.0,133.5,0.78,0.84,1.01,2.63,346.5,206.6,139.9,0.82,0.88,1.06,2.76,150,96,2.86,1.83,3.00,1.92
,,,Ty (Arcus),Veteran,Matadors,Ox Gaming,Solar,52.6,52,4,0.270,0.250,1,3,1193,560,633,3,1,2,11,27.3%,351.4,164.9,186.5,0.88,0.29,0.59,3.24,298.3,140.0,158.3,0.75,0.25,0.50,2.75,4,8,1.18,2.36,1.00,2.00
,,,Porkchop,Veteran,Spastics,The Quad Dynasty,Lunar,52.3,775,49,0.521,0.551,27,22,17314,10640,6674,44,25,70,149,29.5%,342.2,210.3,131.9,0.87,0.49,1.38,2.94,353.3,217.1,136.2,0.90,0.51,1.43,3.04,115,109,2.27,2.15,2.35,2.22
,,,Bolts,Veteran,Gorillas,The Jungle,Solar,52.3,804,54,0.484,0.537,29,25,18453,10370,8083,33,38,79,122,27.0%,351.5,197.6,154.0,0.63,0.72,1.50,2.32,341.7,192.0,149.7,0.61,0.70,1.46,2.26,124,129,2.36,2.46,2.30,2.39
,,,Fluffy,Veteran,Gladiators,The Sovereign,Lunar,52.1,721,48,0.325,0.292,14,34,16731,8900,7831,31,21,69,130,23.8%,355.4,189.1,166.4,0.66,0.45,1.47,2.76,348.6,185.4,163.1,0.65,0.44,1.44,2.71,78,126,1.66,2.68,1.63,2.63
,,,Joez,Veteran,Menthol,Minty Fresh,Solar,51.7,290,21,0.614,0.571,12,9,6863,3920,2943,23,9,14,47,48.9%,362.5,207.0,155.4,1.21,0.48,0.74,2.48,326.8,186.7,140.1,1.10,0.43,0.67,2.24,61,46,3.22,2.43,2.90,2.19
,,,Virrexo,Veteran,Singularity,Event Horizon,Solar,51.5,887,58,0.523,0.534,31,27,20275,10810,9465,48,28,60,161,29.8%,350.1,186.7,163.4,0.83,0.48,1.04,2.78,349.6,186.4,163.2,0.83,0.48,1.03,2.78,138,130,2.38,2.24,2.38,2.24
,,,Viper15,Veteran,Jaculus,Draconem,Solar,50.9,975,64,0.576,0.594,38,26,22805,12850,9955,61,28,74,165,37.0%,358.3,201.9,156.4,0.96,0.44,1.16,2.59,356.3,200.8,155.5,0.95,0.44,1.16,2.58,177,146,2.78,2.29,2.77,2.28
,,,Gregy.,Veteran,"Wyverns
Merciless Mob","The Forest
The Syndicate",Lunar,50.8,704,44,0.500,0.500,22,22,15325,8510,6815,29,26,59,136,21.3%,333.4,185.1,148.3,0.63,0.57,1.28,2.96,348.3,193.4,154.9,0.66,0.59,1.34,3.09,108,108,2.35,2.35,2.45,2.45
,,,Kxle,Veteran,Hades,The Gods,Lunar,50.6,824,56,0.559,0.571,32,24,19150,10170,8980,39,24,73,142,27.5%,356.0,189.0,166.9,0.72,0.45,1.36,2.64,342.0,181.6,160.4,0.70,0.43,1.30,2.54,125,107,2.32,1.99,2.23,1.91
,,,Hexzy,Veteran,Spastics,The Quad Dynasty,Lunar,50.5,705,48,0.593,0.583,28,20,15817,8750,7067,29,28,65,120,24.2%,343.6,190.1,153.5,0.63,0.61,1.41,2.61,329.5,182.3,147.2,0.60,0.58,1.35,2.50,115,90,2.50,1.96,2.40,1.88
,,,P1Zzly,Veteran,Banshees,The Monster Mash,Lunar,50.1,658,42,0.561,0.571,24,18,15102,8450,6652,31,22,63,110,28.2%,351.5,196.7,154.8,0.72,0.51,1.47,2.56,359.6,201.2,158.4,0.74,0.52,1.50,2.62,102,87,2.37,2.03,2.43,2.07
,,,Eekeos,Veteran,"Possessed
Spastics","Destined
The Quad Dynasty",Solar,50.1,163,10,0.453,0.400,4,6,3436,1950,1486,10,8,5,30,33.3%,322.9,183.2,139.6,0.94,0.75,0.47,2.82,343.6,195.0,148.6,1.00,0.80,0.50,3.00,23,26,2.16,2.44,2.30,2.60
,,,Armando,Veteran,Banana Spiders,Eight Legged Freaks,Lunar,49.1,645,40,0.577,0.525,21,19,14048,8640,5408,40,23,46,119,33.6%,333.6,205.2,128.4,0.95,0.55,1.09,2.83,351.2,216.0,135.2,1.00,0.58,1.15,2.98,104,85,2.47,2.02,2.60,2.13
,,,Ray,Veteran,Spastics,The Quad Dynasty,Lunar,48.6,277,19,0.555,0.526,10,9,6391,3450,2941,19,6,15,50,38.0%,353.4,190.8,162.6,1.05,0.33,0.83,2.76,336.4,181.6,154.8,1.00,0.32,0.79,2.63,45,39,2.49,2.16,2.37,2.05
,,,A Calm Panda,Veteran,Banana Spiders,Eight Legged Freaks,Lunar,48.0,872,53,0.567,0.585,31,22,20116,11750,8366,48,23,87,145,33.1%,353.3,206.4,146.9,0.84,0.40,1.53,2.55,379.5,221.7,157.8,0.91,0.43,1.64,2.74,135,113,2.37,1.98,2.55,2.13
,,,Lmao Beer Me,Veteran,"Merciless Mob
Cthulhu","The Syndicate
The Mythos",Lunar,48.0,573,36,0.564,0.500,18,18,13037,7790,5247,34,18,51,94,36.2%,348.5,208.2,140.3,0.91,0.48,1.36,2.51,362.1,216.4,145.8,0.94,0.50,1.42,2.61,110,94,2.94,2.51,3.06,2.61
,,,Bradyk-,Veteran,Makos,Shark Attack,Lunar,47.7,838,54,0.484,0.519,28,26,18418,10470,7948,42,27,68,152,27.6%,336.6,191.4,145.3,0.77,0.49,1.24,2.78,341.1,193.9,147.2,0.78,0.50,1.26,2.81,119,124,2.18,2.27,2.20,2.30
,,,Corrupt_Arrow,Veteran,Calzones,Fifty-Fifty Pizzeria,Lunar,47.3,824,57,0.399,0.386,22,35,18010,9870,8140,27,42,77,122,22.1%,334.8,183.5,151.3,0.50,0.78,1.43,2.27,316.0,173.2,142.8,0.47,0.74,1.35,2.14,109,142,2.03,2.64,1.91,2.49
,,,Gillz,Veteran,Singularity,Event Horizon,Solar,47.2,491,31,0.469,0.355,11,20,11198,6970,4228,36,13,38,82,43.9%,349.3,217.4,131.9,1.12,0.41,1.19,2.56,361.2,224.8,136.4,1.16,0.42,1.23,2.65,74,80,2.31,2.50,2.39,2.58
,,,Spiicy,Veteran,Titanium,Metal,Solar,47.1,258,16,0.601,0.625,10,6,5318,2870,2448,12,10,13,52,23.1%,315.7,170.4,145.3,0.71,0.59,0.77,3.09,332.4,179.4,153.0,0.75,0.63,0.81,3.25,43,33,2.55,1.96,2.69,2.06
,,,Fjord,Veteran,Rockin Revenants,Ghoul School,Solar,47.0,723,48,0.492,0.479,23,25,16028,8480,7548,29,28,60,118,24.6%,339.6,179.6,159.9,0.61,0.59,1.27,2.50,333.9,176.7,157.3,0.60,0.58,1.25,2.46,96,98,2.03,2.08,2.00,2.04
,,,Machu,Veteran,Humpbacks,Whale Defense,Solar,46.1,825,49,0.358,0.306,15,34,17218,9990,7228,31,35,73,149,20.8%,319.7,185.5,134.2,0.58,0.65,1.36,2.77,351.4,203.9,147.5,0.63,0.71,1.49,3.04,103,150,1.91,2.78,2.10,3.06
,,,Diviniation,Veteran,Lightning,Electric Mayhem,Lunar,45.8,800,52,0.399,0.385,20,32,18303,9600,8703,32,24,79,125,25.6%,350.4,183.8,166.6,0.61,0.46,1.51,2.39,352.0,184.6,167.4,0.62,0.46,1.52,2.40,107,139,2.05,2.66,2.06,2.67
,,,Zarthon,Veteran,Calzones,Fifty-Fifty Pizzeria,Lunar,45.6,590,40,0.358,0.400,16,24,13809,7480,6329,26,18,63,83,31.3%,358.5,194.2,164.3,0.67,0.47,1.64,2.15,345.2,187.0,158.2,0.65,0.45,1.58,2.08,69,101,1.79,2.62,1.73,2.53
,,,Avid,Veteran,Makos,Shark Attack,Lunar,45.6,746,48,0.535,0.563,27,21,16504,9320,7184,34,31,65,112,30.4%,338.9,191.4,147.5,0.70,0.64,1.33,2.30,343.8,194.2,149.7,0.71,0.65,1.35,2.33,117,107,2.40,2.20,2.44,2.23
,,,Justifyye,Veteran,Banshees,The Monster Mash,Lunar,45.5,856,56,0.512,0.536,30,26,19130,11000,8130,39,29,86,135,28.9%,342.3,196.8,145.5,0.70,0.52,1.54,2.42,341.6,196.4,145.2,0.70,0.52,1.54,2.41,129,125,2.31,2.24,2.30,2.23
,,,Gorillacream707,Veteran,Gladiators,The Sovereign,Lunar,45.4,704,46,0.451,0.413,19,27,15329,8420,6909,30,21,62,127,23.6%,333.5,183.2,150.3,0.65,0.46,1.35,2.76,333.2,183.0,150.2,0.65,0.46,1.35,2.76,94,107,2.05,2.33,2.04,2.33
,,,Misfitsmedia_,Veteran,Gouda Gangsters,Cheese Guild,Solar,45.3,629,43,0.400,0.465,20,23,14645,7890,6755,24,22,71,84,28.6%,356.6,192.1,164.5,0.58,0.54,1.73,2.05,340.6,183.5,157.1,0.56,0.51,1.65,1.95,75,98,1.83,2.39,1.74,2.28
,,,Tenched,Veteran,Merciless Mob,The Syndicate,Lunar,44.8,140,8,0.464,0.500,4,4,3104,1750,1354,6,6,13,20,30.0%,339.6,191.5,148.1,0.66,0.66,1.42,2.19,388.0,218.8,169.3,0.75,0.75,1.63,2.50,21,23,2.30,2.52,2.63,2.88
,,,Jknop2,Veteran,Singularity,Event Horizon,Solar,44.7,967,63,0.521,0.524,33,30,21750,12060,9690,37,41,100,131,28.2%,344.5,191.0,153.5,0.59,0.65,1.58,2.07,345.2,191.4,153.8,0.59,0.65,1.59,2.08,154,146,2.44,2.31,2.44,2.32
,,,Racer,Veteran,"Matadors
Lightning
Gorillas
Water","Ox Gaming
Electric Mayhem
The Jungle
The Elements",Solar,44.4,271,16,0.337,0.250,4,12,5824,3630,2194,14,11,25,43,32.6%,329.2,205.2,124.0,0.79,0.62,1.41,2.43,364.0,226.9,137.1,0.88,0.69,1.56,2.69,36,55,2.03,3.11,2.25,3.44
,,,Mathews175,Veteran,Seadevils,The Abyss,Lunar,43.6,516,33,0.613,0.576,19,14,11346,5980,5366,23,20,38,78,29.5%,336.8,177.5,159.3,0.68,0.59,1.13,2.32,343.8,181.2,162.6,0.70,0.61,1.15,2.36,85,63,2.52,1.87,2.58,1.91
,,,Hawkish,Veteran,Wyverns,The Forest,Solar,43.3,362,26,0.605,0.615,16,10,7938,3990,3948,16,12,24,59,27.1%,335.9,168.8,167.0,0.68,0.51,1.02,2.50,305.3,153.5,151.8,0.62,0.46,0.92,2.27,57,43,2.41,1.82,2.19,1.65
,,,Pre,Veteran,Spastics,The Quad Dynasty,Lunar,43.3,249,15,0.518,0.600,9,6,5290,3220,2070,14,9,19,42,33.3%,325.4,198.1,127.3,0.86,0.55,1.17,2.58,352.7,214.7,138.0,0.93,0.60,1.27,2.80,46,44,2.83,2.71,3.07,2.93
