Tier,RSC ID,Player Name,Team(s),Franchise(s),Conf.,Div,SBV,TS,GP,TS/GP,PWE,W%,W,L,MVPs,P,SP,NP,G,A,Sv,Sh,Sh%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,PPG,SPPG,NPPG,GPG,APG,SvPG,ShPG,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G,opp_S,opp_S/A,opp_S/G,opp_S%
Contender,RSC013992,P0lyph3m0us,Eladrin,D20,Lunar,Lunar Ember,86.25,749,52,14.40,0.534,0.635,33,19,18,20413,12700,7713,58,42,61,175,0.331,392.89,244.44,148.45,1.12,0.81,1.17,3.37,392.56,244.23,148.33,1.12,0.81,1.17,3.37,137,104,2.64,2.00,2.63,2.00,339,6.52,6.52,0.31
Contender,RSC013275,virchowtriad,Mustangs,Mach Velocity,Lunar,Lunar Ember,85.36,688,51,13.49,0.550,0.725,37,14,25,20819,12720,8099,71,14,63,177,0.401,436.24,266.53,169.70,1.49,0.29,1.32,3.71,408.22,249.41,158.80,1.39,0.27,1.24,3.47,130,87,2.72,1.82,2.55,1.71,322,6.75,6.31,0.27
Contender,RSC008379,Caiman,Eladrin,D20,Lunar,Lunar Ember,82.85,54,4,13.50,0.625,0.750,3,1,1,1456,900,556,2,3,9,10,0.200,388.70,240.27,148.43,0.53,0.80,2.40,2.67,364.00,225.00,139.00,0.50,0.75,2.25,2.50,7,4,1.87,1.07,1.75,1.00,21,5.61,5.25,0.19
Contender,RSC013793,mmmmgoodtoastRLL,Sirens,Mythical,Solar,Solar Mountain,82.47,462,36,12.83,0.535,0.639,23,13,13,13359,7650,5709,35,23,44,80,0.438,416.85,238.71,178.14,1.09,0.72,1.37,2.50,371.08,212.50,158.58,0.97,0.64,1.22,2.22,91,71,2.84,2.22,2.53,1.97,211,6.58,5.86,0.34
Contender,RSC003193,ShiftDrink,Fingus No Legs,Dwarf Haven,Lunar,Lunar Cloud,79.53,656,47,13.96,0.508,0.532,25,22,13,18213,10290,7923,48,28,54,139,0.345,400.25,226.13,174.11,1.05,0.62,1.19,3.05,387.51,218.94,168.57,1.02,0.60,1.15,2.96,111,104,2.44,2.29,2.36,2.21,331,7.27,7.04,0.31
Contender,RSC007958,No Mechs. HELP,Rollers,The Quad Dynasty,Lunar,Lunar Ember,79.11,781,52,15.02,0.555,0.731,38,14,21,22192,13270,8922,68,25,70,172,0.395,409.63,244.95,164.69,1.26,0.46,1.29,3.17,426.77,255.19,171.58,1.31,0.48,1.35,3.31,161,104,2.97,1.92,3.10,2.00,359,6.63,6.90,0.29
Contender,RSC012980,C-lukk,Jellyfish,Tyrants of the Sea,Lunar,Lunar Cloud,78.85,102,6,17.00,0.555,0.667,4,2,3,2967,1790,1177,7,3,15,19,0.368,419.34,252.99,166.35,0.99,0.42,2.12,2.69,494.50,298.33,196.17,1.17,0.50,2.50,3.17,19,15,2.69,2.12,3.17,2.50,48,6.78,8.00,0.31
Contender,RSC014038,ohayo-gosaimas,Jellyfish,Tyrants of the Sea,Lunar,Lunar Cloud,73.99,703,49,14.35,0.508,0.612,30,19,16,18565,10460,8105,49,27,53,156,0.314,380.71,214.50,166.21,1.00,0.55,1.09,3.20,378.88,213.47,165.41,1.00,0.55,1.08,3.18,115,108,2.36,2.21,2.35,2.20,324,6.64,6.61,0.33
Contender,RSC006232,bestpickle,Gallery Guild,Art Club,Solar,Solar Cloud,73.06,526,40,13.15,0.502,0.475,19,21,10,14057,7480,6577,34,22,39,103,0.330,385.26,205.01,180.26,0.93,0.60,1.07,2.82,351.43,187.00,164.43,0.85,0.55,0.98,2.58,91,90,2.49,2.47,2.28,2.25,248,6.80,6.20,0.36
Contender,RSC007372,oofitsfine,Rollers,The Quad Dynasty,Lunar,Lunar Ember,71.97,831,56,14.84,0.550,0.732,41,15,9,20924,12660,8264,58,44,62,156,0.372,362.99,219.63,143.36,1.01,0.76,1.08,2.71,373.64,226.07,147.57,1.04,0.79,1.11,2.79,171,114,2.97,1.98,3.05,2.04,382,6.63,6.82,0.30
