RSC Id,Player Name,Season,Tier,Played,Wins,Losses,MVPs,Pts,Goals,Assists,Saves,Shots,Cycles,Hat Tricks,Playmakers,Saviors,DI,DT,W%,MVP%,PPG,GPG,APG,SvPG,ShPG,DIPG,DTPG,Sh%,G+A,G+A PG
RSC000036,Scribbs,12,Veteran,48,28,20,8,17586,45,23,64,149,10,4,0,6,31,35,0.58,0.29,366.38,0.94,0.48,1.33,3.10,0.65,0.73,0.30,68,1.42
RSC000037,Carnerd23,6,Veteran,16,9,7,0,3328,6,6,10,28,1,0,0,0,,,0.56,0.00,208.00,0.38,0.38,0.63,1.75,0.00,0.00,0.21,12,0.75
RSC000037,MD,7,Rival,36,16,20,4,11702,29,25,32,78,5,1,0,3,,,0.44,0.25,325.06,0.81,0.69,0.89,2.17,0.00,0.00,0.37,54,1.50
RSC000037,MD,8,Rival,46,32,14,11,17267,46,36,51,155,11,2,1,4,,,0.70,0.34,375.37,1.00,0.78,1.11,3.37,0.00,0.00,0.30,82,1.78
RSC000037,MD,10,Veteran,53,24,29,8,17302,41,16,62,137,6,2,0,6,,,0.45,0.33,326.45,0.77,0.30,1.17,2.58,0.00,0.00,0.30,57,1.08
RSC000037,MD,11,Veteran,54,32,22,8,18617,41,37,62,134,9,4,2,5,61,39,0.59,0.25,344.76,0.76,0.69,1.15,2.48,1.13,0.72,0.31,78,1.44
RSC000037,MD,12,Veteran,43,28,15,8,15295,45,29,46,114,8,5,0,5,36,31,0.65,0.29,355.70,1.05,0.67,1.07,2.65,0.84,0.72,0.39,74,1.72
RSC000037,MD,13,Veteran,29,11,18,3,8140,12,14,34,54,6,0,0,3,25,23,0.38,0.27,280.69,0.41,0.48,1.17,1.86,0.86,0.79,0.22,26,0.90
RSC000037,MD,14,Veteran,25,8,17,0,7606,14,11,33,46,3,0,0,3,27,18,0.32,0.00,304.24,0.56,0.44,1.32,1.84,1.08,0.72,0.30,25,1.00
RSC000037,MD,16,Veteran,50,31,19,8,17327,41,44,53,138,12,4,4,6,75,54,0.62,0.26,346.54,0.82,0.88,1.06,2.76,1.50,1.08,0.30,85,1.70
RSC000037,MD,17,Veteran,56,21,35,9,19678,42,32,73,150,6,1,4,6,69,58,0.38,0.43,351.39,0.75,0.57,1.30,2.68,1.23,1.04,0.28,74,1.32
RSC000037,MD,19,Veteran,12,5,7,3,4713,12,4,23,32,2,2,0,4,23,10,0.42,0.60,392.75,1.00,0.33,1.92,2.67,1.92,0.83,0.38,16,1.33
RSC000037,MD,20,Elite,4,2,2,1,1566,2,3,11,7,2,0,0,2,75,36,0.50,0.50,391.50,0.50,0.75,2.75,1.75,18.75,9.00,0.29,5,1.25
RSC000037,MD,20,Veteran,40,12,28,3,12959,29,24,41,120,3,0,2,6,,,0.30,0.25,323.98,0.73,0.60,1.03,3.00,0.00,0.00,0.24,53,1.33
RSC000038,Varenine,4,Challenger,49,28,21,8,13684,33,22,36,111,4,1,1,1,,,0.57,0.29,279.27,0.67,0.45,0.73,2.27,0.00,0.00,0.30,55,1.12
RSC000038,Varenine,5,Challenger,51,22,29,7,15155,41,25,42,109,9,2,1,4,,,0.43,0.32,297.16,0.80,0.49,0.82,2.14,0.00,0.00,0.38,66,1.29
RSC000038,Varenine,6,Challenger,32,20,12,4,9653,25,21,33,63,4,0,1,2,,,0.63,0.20,301.66,0.78,0.66,1.03,1.97,0.00,0.00,0.40,46,1.44
RSC000038,Varenine,8,Prospect,55,33,22,13,19135,54,17,60,161,3,4,1,5,,,0.60,0.39,347.91,0.98,0.31,1.09,2.93,0.00,0.00,0.34,71,1.29
RSC000038,Varenine,9,Challenger,47,20,27,10,17492,50,13,64,104,4,6,0,9,,,0.43,0.50,372.17,1.06,0.28,1.36,2.21,0.00,0.00,0.48,63,1.34
RSC000038,Varenine,9,Rival,8,3,5,0,2159,3,0,13,11,0,0,0,2,,,0.38,0.00,269.88,0.38,0.00,1.63,1.38,0.00,0.00,0.27,3,0.38
RSC000038,Varenine,12,Challenger,57,38,19,17,22506,67,42,66,172,13,5,1,7,27,43,0.67,0.45,394.84,1.18,0.74,1.16,3.02,0.47,0.75,0.39,109,1.91
RSC000038,Varenine,13,Rival,25,12,13,4,8145,18,8,38,61,3,0,0,7,14,25,0.48,0.33,325.80,0.72,0.32,1.52,2.44,0.56,1.00,0.30,26,1.04
RSC000038,Varenine,13,Veteran,4,0,4,0,1411,4,4,3,11,1,0,1,0,1,2,0.00,,352.75,1.00,1.00,0.75,2.75,0.25,0.50,0.36,8,2.00
RSC000039,ImpalerV,5,Challenger,38,15,23,4,11415,30,17,42,75,2,1,0,2,,,0.39,0.27,300.39,0.79,0.45,1.11,1.97,0.00,0.00,0.40,47,1.24
RSC000039,ImpalerV,6,Rival,7,3,4,0,1874,3,4,10,13,1,0,0,1,,,0.43,0.00,267.71,0.43,0.57,1.43,1.86,0.00,0.00,0.23,7,1.00
RSC000039,ImpalerV,7,Challenger,36,16,20,2,10176,21,11,46,69,2,0,0,4,,,0.44,0.13,282.67,0.58,0.31,1.28,1.92,0.00,0.00,0.30,32,0.89
RSC000039,ImpalerV,8,Challenger,47,29,18,8,16218,37,38,48,126,7,1,3,5,,,0.62,0.28,345.06,0.79,0.81,1.02,2.68,0.00,0.00,0.29,75,1.60
RSC000039,ImpalerV,9,Rival,49,30,19,10,16691,33,29,65,117,7,3,1,6,,,0.61,0.33,340.63,0.67,0.59,1.33,2.39,0.00,0.00,0.28,62,1.27
RSC000039,ImpalerV,10,Veteran,57,29,28,6,19128,46,29,70,127,9,4,2,5,,,0.51,0.21,335.58,0.81,0.51,1.23,2.23,0.00,0.00,0.36,75,1.32
RSC000039,ImpalerV,11,Veteran,43,20,23,2,12727,15,21,60,73,3,0,0,8,31,41,0.47,0.10,295.98,0.35,0.49,1.40,1.70,0.72,0.95,0.21,36,0.84
RSC000039,ImpalerV,12,Rival,49,19,30,7,17426,33,22,85,102,8,2,1,13,34,32,0.39,0.37,355.63,0.67,0.45,1.73,2.08,0.69,0.65,0.32,55,1.12
RSC000039,ImpalerV,13,Rival,51,39,12,10,17672,48,33,57,143,12,3,1,6,27,46,0.76,0.26,346.51,0.94,0.65,1.12,2.80,0.53,0.90,0.34,81,1.59
RSC000039,ImpalerV,14,Rival,54,30,24,12,19614,48,30,78,139,12,1,1,7,35,49,0.56,0.40,363.22,0.89,0.56,1.44,2.57,0.65,0.91,0.35,78,1.44
RSC000039,ImpalerV,15,Veteran,35,15,20,2,10810,17,21,52,71,5,0,0,6,32,22,0.43,0.13,308.86,0.49,0.60,1.49,2.03,0.91,0.63,0.24,38,1.09
RSC000039,ImpalerV,16,Rival,64,33,31,14,25591,60,28,114,191,11,1,0,20,42,68,0.52,0.42,399.86,0.94,0.44,1.78,2.98,0.66,1.06,0.31,88,1.38
RSC000039,ImpalerV,17,Rival,57,32,25,6,17387,35,33,61,150,9,0,0,6,47,54,0.56,0.19,305.04,0.61,0.58,1.07,2.63,0.82,0.95,0.23,68,1.19
RSC000039,ImpalerV,18,Rival,36,12,24,4,12318,22,25,52,72,10,0,0,8,30,38,0.33,0.33,342.17,0.61,0.69,1.44,2.00,0.83,1.06,0.31,47,1.31
RSC000039,ImpalerV,19,Rival,55,29,26,8,19911,42,28,86,157,11,3,0,11,44,56,0.53,0.28,362.02,0.76,0.51,1.56,2.85,0.80,1.02,0.27,70,1.27
RSC000039,ImpalerV,20,Rival,37,18,19,6,13340,25,15,67,93,4,2,0,10,25,38,0.49,0.33,360.54,0.68,0.41,1.81,2.51,0.68,1.03,0.27,40,1.08
RSC000039,ImpalerV,21,Rival,52,16,36,10,17919,37,22,84,115,9,1,0,11,36,55,0.31,0.63,344.60,0.71,0.42,1.62,2.21,0.69,1.06,0.32,59,1.13
RSC000040,Maseter,2,Premier,12,4,8,1,2685,6,7,13,23,2,1,0,2,,,0.33,0.25,223.75,0.50,0.58,1.08,1.92,0.00,0.00,0.26,13,1.08
RSC000041,ShadowAid,5,Rival,4,0,4,0,961,1,1,5,8,1,0,0,1,,,0.00,,240.25,0.25,0.25,1.25,2.00,0.00,0.00,0.13,2,0.50
RSC000041,ShadowAid,6,Rival,39,26,13,8,15204,34,32,56,106,9,2,0,8,,,0.67,0.31,389.85,0.87,0.82,1.44,2.72,0.00,0.00,0.32,66,1.69
RSC000041,ShadowAid,7,Veteran,25,10,15,3,7834,17,10,26,80,4,0,0,1,,,0.40,0.30,313.36,0.68,0.40,1.04,3.20,0.00,0.00,0.21,27,1.08
RSC000043,zoose,5,Prospect,53,35,18,21,20602,70,31,40,167,10,8,0,2,,,0.66,0.60,388.72,1.32,0.58,0.75,3.15,0.00,0.00,0.42,101,1.91
RSC000043,zoose,6,Challenger,39,24,15,11,17005,61,24,44,134,8,6,1,7,,,0.62,0.46,436.03,1.56,0.62,1.13,3.44,0.00,0.00,0.46,85,2.18
RSC000043,zoose,7,Rival,40,23,17,9,14028,39,23,45,105,12,1,0,3,,,0.58,0.39,350.70,0.98,0.58,1.13,2.63,0.00,0.00,0.37,62,1.55
RSC000043,zoose,9,Rival,53,33,20,19,21283,56,32,71,149,8,5,4,9,,,0.62,0.58,401.57,1.06,0.60,1.34,2.81,0.00,0.00,0.38,88,1.66
RSC000044,Jimmylikebeans,6,Premier,60,22,38,7,25234,48,33,120,199,15,2,2,21,,,0.37,0.32,420.57,0.80,0.55,2.00,3.32,0.00,0.00,0.24,81,1.35
RSC000045,IEatRazzTV,6,Veteran,2,0,2,0,465,0,0,3,3,0,0,0,1,,,0.00,,232.50,0.00,0.00,1.50,1.50,0.00,0.00,0.00,0,0.00
RSC000047,kidnutrageous,4,Contender,35,13,22,2,7409,14,14,19,48,2,1,1,1,,,0.37,0.15,211.69,0.40,0.40,0.54,1.37,0.00,0.00,0.29,28,0.80
RSC000047,kidnutrageous,6,Contender,24,10,14,1,5663,11,7,20,39,3,0,0,1,,,0.42,0.10,235.96,0.46,0.29,0.83,1.63,0.00,0.00,0.28,18,0.75
RSC000048,pablo v2,6,Amateur,35,18,17,1,8134,21,12,23,54,1,0,1,1,,,0.51,0.06,232.40,0.60,0.34,0.66,1.54,0.00,0.00,0.39,33,0.94
RSC000048,pablo v2,7,Amateur,49,30,19,5,11105,27,24,29,82,3,2,0,2,,,0.61,0.17,226.63,0.55,0.49,0.59,1.67,0.00,0.00,0.33,51,1.04
RSC000048,pablo v2,8,Contender,5,0,5,0,1183,4,0,6,6,0,0,0,1,,,0.00,,236.60,0.80,0.00,1.20,1.20,0.00,0.00,0.67,4,0.80
RSC000048,pablo v2,9,Contender,48,20,28,8,13233,27,17,45,91,5,1,1,4,,,0.42,0.40,275.69,0.56,0.35,0.94,1.90,0.00,0.00,0.30,44,0.92
RSC000048,pablo v2,10,Prospect,29,8,21,3,7713,14,9,33,58,2,0,0,3,,,0.28,0.38,265.97,0.48,0.31,1.14,2.00,0.00,0.00,0.24,23,0.79
RSC000048,pablo v2,11,Prospect,45,27,18,3,12264,31,24,40,92,11,0,0,4,33,26,0.60,0.11,272.53,0.69,0.53,0.89,2.04,0.73,0.58,0.34,55,1.22
RSC000048,pablo v2,12,Prospect,40,16,24,4,12204,29,16,48,90,4,1,1,7,29,20,0.40,0.25,305.10,0.73,0.40,1.20,2.25,0.73,0.50,0.32,45,1.13
