RSC ID,# of Seasons,First Season,Seasons Played
RSC000343,5,6,"[6, 8, 9, 10, 11]"
RSC000344,12,5,"[5, 6, 7, 8, 16, 17, 18, 19, 20, 22, 24, 25]"
RSC000345,1,6,[6]
RSC000346,4,12,"[12, 13, 14, 15]"
RSC000347,16,6,"[6, 7, 8, 11, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
RSC000348,6,5,"[5, 6, 8, 9, 10, 11]"
RSC000349,6,3,"[3, 4, 5, 6, 7, 8]"
RSC000350,1,5,[5]
RSC000351,8,6,"[6, 7, 8, 9, 10, 12, 24, 25]"
RSC000352,7,4,"[4, 5, 6, 8, 9, 10, 20]"
RSC000353,4,2,"[2, 3, 4, 5]"
RSC000354,1,12,[12]
RSC000355,5,5,"[5, 6, 7, 9, 10]"
RSC000357,23,1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25]"
RSC000358,9,4,"[4, 5, 6, 7, 8, 9, 10, 11, 12]"
RSC000359,5,6,"[6, 7, 8, 9, 10]"
RSC000360,1,1,[1]
RSC000361,1,3,[3]
RSC000362,1,5,[5]
RSC000363,11,4,"[4, 5, 6, 7, 12, 13, 14, 15, 16, 17, 18]"
RSC000364,1,6,[6]
RSC000365,11,4,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15]"
RSC000366,7,3,"[3, 4, 5, 6, 7, 8, 11]"
RSC000367,19,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
RSC000368,9,2,"[2, 3, 4, 6, 7, 8, 9, 14, 15]"
RSC000369,10,6,"[6, 7, 8, 9, 10, 11, 12, 15, 16, 25]"
RSC000370,1,6,[6]
RSC000371,16,6,"[6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
RSC000373,8,6,"[6, 7, 8, 9, 10, 11, 12, 15]"
RSC000374,16,3,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 20, 25]"
RSC000376,3,1,"[1, 4, 6]"
RSC000377,4,6,"[6, 7, 10, 11]"
RSC000378,7,1,"[1, 2, 3, 4, 5, 6, 7]"
RSC000379,6,6,"[6, 7, 8, 10, 24, 25]"
RSC000380,2,2,"[2, 3]"
RSC000381,17,6,"[6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
RSC000382,2,4,"[4, 7]"
RSC000384,4,4,"[4, 5, 6, 7]"
RSC000385,3,6,"[6, 7, 8]"
RSC000386,3,5,"[5, 6, 7]"
RSC000387,6,2,"[2, 3, 4, 5, 6, 9]"
RSC000388,10,1,"[1, 2, 3, 6, 7, 8, 9, 10, 11, 12]"
RSC000389,3,6,"[6, 7, 8]"
RSC000390,6,4,"[4, 5, 6, 7, 13, 14]"
RSC000392,6,5,"[5, 6, 7, 8, 9, 10]"
RSC000393,1,6,[6]
RSC000394,9,5,"[5, 6, 7, 8, 9, 10, 11, 13, 14]"
RSC000396,5,2,"[2, 3, 4, 6, 7]"
RSC000397,7,2,"[2, 3, 5, 6, 7, 8, 11]"
RSC000399,8,2,"[2, 3, 4, 5, 7, 9, 10, 12]"
RSC000400,1,6,[6]
RSC000402,14,6,"[6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 20, 21]"
RSC000403,4,2,"[2, 5, 8, 25]"
RSC000404,8,1,"[1, 2, 3, 4, 5, 6, 10, 11]"
RSC000406,6,1,"[1, 2, 3, 4, 5, 6]"
RSC000407,2,6,"[6, 7]"
RSC000408,21,2,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 25]"
RSC000409,1,5,[5]
RSC000410,3,6,"[6, 7, 8]"
RSC000411,3,6,"[6, 7, 8]"
RSC000412,2,6,"[6, 7]"
RSC000414,4,2,"[2, 3, 4, 6]"
RSC000415,6,4,"[4, 6, 7, 8, 9, 19]"
RSC000416,1,6,[6]
RSC000417,12,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
RSC000418,2,1,"[1, 2]"
RSC000419,6,5,"[5, 6, 7, 8, 11, 12]"
RSC000420,4,4,"[4, 5, 6, 17]"
RSC000422,2,4,"[4, 6]"
RSC000423,1,5,[5]
RSC000424,2,4,"[4, 6]"
RSC000425,10,1,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11]"
RSC000426,18,6,"[6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25]"
RSC000428,3,4,"[4, 5, 6]"
RSC000429,8,3,"[3, 4, 5, 6, 12, 13, 14, 15]"
RSC000430,15,2,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 20, 21]"
RSC000431,7,3,"[3, 4, 5, 6, 10, 11, 13]"
RSC000432,2,14,"[14, 15]"
RSC000433,4,6,"[6, 8, 9, 10]"
RSC000434,3,5,"[5, 6, 7]"
RSC000435,1,6,[6]
RSC000436,14,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20]"
RSC000437,12,7,"[7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20]"
RSC000438,16,5,"[5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 25]"
RSC000439,9,5,"[5, 6, 7, 8, 9, 10, 11, 21, 23]"
RSC000440,1,2,[2]
RSC000441,13,4,"[4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 20, 24]"
RSC000442,7,6,"[6, 7, 8, 10, 11, 12, 13]"
RSC000443,5,6,"[6, 7, 12, 13, 16]"
RSC000445,1,5,[5]
RSC000446,8,5,"[5, 6, 7, 8, 9, 10, 11, 12]"
RSC000447,1,6,[6]
RSC000448,6,6,"[6, 8, 9, 10, 11, 18]"
RSC000449,4,4,"[4, 6, 8, 9]"
RSC000450,2,6,"[6, 8]"
RSC000451,7,5,"[5, 6, 7, 8, 10, 11, 13]"
RSC000452,5,4,"[4, 5, 6, 7, 8]"
RSC000453,1,6,[6]
RSC000454,3,6,"[6, 10, 11]"
RSC000456,2,5,"[5, 6]"
RSC000457,6,6,"[6, 7, 8, 9, 10, 11]"
RSC000458,5,4,"[4, 5, 6, 7, 8]"
RSC000459,1,6,[6]
RSC000460,11,6,"[6, 8, 9, 10, 11, 13, 14, 15, 16, 17, 21]"
RSC000461,13,6,"[6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
RSC000462,13,3,"[3, 4, 5, 6, 7, 8, 9, 10, 12, 16, 18, 22, 25]"
RSC000463,3,6,"[6, 7, 8]"
RSC000464,4,6,"[6, 13, 15, 16]"
RSC000465,2,1,"[1, 3]"
RSC000466,10,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
RSC000467,5,6,"[6, 7, 8, 9, 10]"
RSC000468,6,6,"[6, 7, 8, 9, 10, 18]"
RSC000469,2,5,"[5, 6]"
RSC000470,2,5,"[5, 6]"
RSC000471,3,6,"[6, 7, 8]"
RSC000472,4,4,"[4, 5, 6, 7]"
RSC000473,1,1,[1]
RSC000474,1,2,[2]
RSC000476,1,5,[5]
RSC000477,1,5,[5]
RSC000478,2,3,"[3, 4]"
RSC000479,1,6,[6]
RSC000481,3,1,"[1, 9, 10]"
RSC000482,10,2,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12]"
RSC000483,3,6,"[6, 7, 8]"
RSC000486,2,6,"[6, 7]"
RSC000487,2,5,"[5, 6]"
RSC000488,9,5,"[5, 6, 7, 8, 9, 10, 11, 16, 22]"
RSC000489,5,4,"[4, 5, 6, 7, 8]"
RSC000490,2,6,"[6, 8]"
RSC000491,11,5,"[5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 18]"
RSC000492,1,1,[1]
RSC000493,10,6,"[6, 8, 9, 10, 12, 13, 14, 18, 19, 20]"
RSC000497,4,6,"[6, 8, 9, 10]"
